Phylum,TARA_004_SRF_0.22-1.6,TARA_141_SRF_0.22-3,TARA_142_MES_0.22-3,TARA_142_SRF_0.22-3,TARA_145_MES_0.22-3,TARA_145_SRF_0.22-3,TARA_146_MES_0.22-3,TARA_146_SRF_0.22-3,TARA_148b_MES_0.22-3,TARA_148_SRF_0.22-3,TARA_149_MES_0.22-3,TARA_149_SRF_0.22-3,TARA_150_SRF_0.22-3,TARA_151_SRF_0.22-3,TARA_152_MES_0.22-3,TARA_152_SRF_0.22-3,TARA_066_SRF_0.22-3,TARA_067_SRF_0.22-3,TARA_068_MES_0.22-3,TARA_068_SRF_0.22-3,TARA_070_MES_0.22-3,TARA_070_SRF_0.22-3,TARA_072_MES_0.22-3,TARA_072_SRF_0.22-3,TARA_076_MES_0.22-3,TARA_076_SRF_0.22-3,TARA_078_MES_0.22-3,TARA_078_SRF_0.22-3,TARA_082_SRF_0.22-3
Firmicutes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,3,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,3,0,0,1,8,0,0,0,0
Deferribacteres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Proteobacteria,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bacteroidetes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5
Planctomycetes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0
Proteobacteria,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,2,0,2,1,0,0,7,0,0,1,1,0,0,0,0,0,2,0,0,0,0
Proteobacteria,0,0,1,0,1,0,1,0,1,0,2,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0
Chloroflexi,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
BD1-5,0,0,0,0,1,10,0,1,1,0,0,9,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteria,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0
Chloroflexi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,1,0,0,0,2,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TA06,0,0,3,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,2,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,2
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1
Proteobacteria,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Proteobacteria,0,0,1,0,4,0,11,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Gemmatimonadetes,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0
Proteobacteria,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bacteroidetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,3,0,3,0,0
Proteobacteria,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Verrucomicrobia,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
Proteobacteria,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,1,2,0,1,0,0,0,0,0
Cyanobacteria,0,0,0,1,0,1,0,0,0,0,0,5,1,5,0,0,1,5,0,0,0,0,0,0,0,0,0,0,6
Proteobacteria,0,0,0,0,3,0,4,0,2,0,3,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0
Planctomycetes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,1,0,0,0,0,1,6
Candidate division OP11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,1
Proteobacteria,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,6,0,0,0,0,0,1
Proteobacteria,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,0,2,1,5,1,0,0
Proteobacteria,0,1,2,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,1,2,2,0,0,0,0
Proteobacteria,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,3,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,1,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,1,0,0,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,2,4,0,0,0,0
Bacteroidetes,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,5,1,1,0,0,0,0,0,0,0,0,0,0,1
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Proteobacteria,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,1,0,0
Proteobacteria,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,2,17,0,0
Proteobacteria,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Acidobacteria,0,0,0,0,0,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Proteobacteria,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Proteobacteria,0,3,2,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0
Actinobacteria,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Proteobacteria,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Proteobacteria,0,0,3,0,3,0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,2,0,0
Actinobacteria,0,0,2,0,1,0,2,0,0,0,3,0,0,0,2,0,0,0,4,0,1,0,2,0,1,0,1,0,0
Proteobacteria,0,1,0,2,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Actinobacteria,0,0,2,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0
Proteobacteria,0,0,3,2,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0,0,0,3,0,0,0,0
Verrucomicrobia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12
Proteobacteria,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1
Lentisphaerae,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,0,0
Proteobacteria,0,0,2,0,3,0,0,1,0,5,7,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Thaumarchaeota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Chloroflexi,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,2,0,1,0,8,0,3,0,0
Proteobacteria,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,0,0,2,0,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,2,3,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Actinobacteria,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bacteroidetes,0,0,0,0,2,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,1,2,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,3,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0
Proteobacteria,0,0,0,0,1,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,1
Planctomycetes,0,0,0,4,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,5,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,4,0,0
Proteobacteria,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,4,1,0,0,1,0,0,0,0,0,0,1,0,0
Proteobacteria,0,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Cyanobacteria,0,0,0,1,0,10,0,0,0,0,0,2,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0
Cyanobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,2
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,3,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0
Proteobacteria,0,3,0,1,2,0,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
Proteobacteria,0,1,0,2,0,0,0,2,0,2,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,4,0,4,0,1,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,4,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Actinobacteria,0,0,0,0,0,0,0,1,3,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloroflexi,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,0,0,4,0,0,0,0,0,2,0,5,0,0
Proteobacteria,0,0,1,0,0,0,1,1,0,0,1,0,0,0,2,2,0,0,0,0,1,0,0,0,0,10,1,0,0
Chloroflexi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteria,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Proteobacteria,0,0,0,0,2,0,1,0,1,0,1,0,0,0,3,0,0,0,0,0,1,0,1,0,3,0,0,0,0
Proteobacteria,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0
Proteobacteria,0,0,0,0,1,0,0,0,2,0,0,0,1,0,3,1,0,1,0,0,1,0,0,0,0,0,0,1,1
Proteobacteria,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Proteobacteria,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Verrucomicrobia,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,0,0,0
Actinobacteria,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,3,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteria,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
Proteobacteria,0,0,0,2,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Bacteroidetes,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Chloroflexi,0,0,0,0,1,0,1,0,4,0,2,0,0,0,3,0,0,0,0,0,2,0,0,0,3,0,3,0,0
Actinobacteria,0,0,0,0,2,0,0,0,2,0,3,0,0,0,4,0,0,0,2,0,1,0,0,0,4,0,3,0,0
Proteobacteria,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Proteobacteria,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Proteobacteria,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Gemmatimonadetes,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,3,0,8,0,3,0,0
Chloroflexi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0
Bacteroidetes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Bacteroidetes,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Bacteroidetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Firmicutes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cyanobacteria,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Proteobacteria,0,0,1,0,1,0,1,0,0,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,5,0,0,0,0,0,4,1,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
Bacteroidetes,0,0,6,0,2,0,4,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0
BHI80-139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,13,0,1,0,2,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Proteobacteria,0,0,5,0,2,0,2,0,0,0,2,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,1,0,0
Actinobacteria,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,9,0,0,0,0,1,0,0,0
Proteobacteria,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
Proteobacteria,0,0,0,1,1,0,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Proteobacteria,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Proteobacteria,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,3,4,0,0,0,0
Lentisphaerae,0,0,0,0,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,0,0
Proteobacteria,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Thaumarchaeota,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
Proteobacteria,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,1,2,0,2,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Bacteroidetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,0,0,1,0,2,0,0,0,0,0,1,1,0,0,5,0,0,0,1,0,2,0,0,0,0,0,0,0,0
Bacteroidetes,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
Proteobacteria,0,0,0,0,1,0,0,0,2,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0
Proteobacteria,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
Bacteroidetes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deferribacteres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyanobacteria,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,6,0,0
Bacteroidetes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5
Actinobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Bacteroidetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8
Bacteroidetes,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,3,0,2,0,1,0,0,1,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Bacteroidetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Proteobacteria,0,0,1,0,0,0,0,0,1,0,0,1,1,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,8,1,0,0,0,0,0,0,0,0,0,0
Bacteroidetes,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,4
Proteobacteria,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
Proteobacteria,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Acidobacteria,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Proteobacteria,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Verrucomicrobia,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,23,3,1,0,0,0,0,0,0,0,0,0
Proteobacteria,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Proteobacteria,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteobacteria,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Proteobacteria,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0
Proteobacteria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Proteobacteria,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0
Lentisphaerae,0,2,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Proteobacteria,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
