Acidobacteria,0,0,0,101,0,61,1,37,1,73,1,1,0,85,1,0,0,85,0,42,0,12,0,90,0,64,0,0,655
Acidobacteria,0,0,0,49,0,53,1,58,3,59,0,1,0,55,2,0,0,82,4,26,0,8,0,60,0,50,0,0,511
Acidobacteria,0,1,0,52,1,40,4,36,1,50,1,1,0,60,1,0,0,55,0,23,0,9,0,90,0,56,0,0,481
Acidobacteria,0,0,0,58,1,12,1,7,0,34,0,0,0,41,0,0,0,74,1,20,0,9,0,44,0,27,0,0,329
Acidobacteria,0,0,0,44,0,13,1,1,0,21,1,1,1,26,0,1,0,55,0,15,0,5,0,20,0,32,0,0,237
Acidobacteria,0,0,0,16,0,16,0,4,0,9,0,0,0,5,0,0,0,9,0,9,0,5,0,15,0,10,0,0,98
Acidobacteria,0,0,0,3,0,28,0,11,0,59,0,0,0,87,0,0,0,22,0,11,1,10,0,25,0,8,0,0,265
Acidobacteria,0,0,0,45,0,25,0,6,0,35,0,0,0,34,0,0,0,56,0,20,0,1,0,37,0,20,0,0,279
Acidobacteria,0,0,0,27,0,20,0,6,0,23,0,0,0,22,0,0,0,34,0,26,0,11,0,48,0,24,0,0,241
Acidobacteria,0,0,5,30,1,15,2,14,3,19,4,1,1,26,2,2,0,74,1,18,0,6,0,40,0,27,0,0,291
Acidobacteria,0,0,0,23,1,39,0,48,0,38,0,0,0,48,0,0,0,37,0,13,0,4,0,22,0,24,0,0,297
Acidobacteria,0,0,0,29,1,16,0,0,0,32,0,0,0,22,0,0,0,37,0,14,0,8,0,25,0,26,0,0,210
Acidobacteria,0,0,0,14,0,19,0,12,0,32,0,0,0,32,0,0,0,37,0,17,0,3,0,41,0,33,0,0,240
Acidobacteria,0,0,0,11,0,16,4,15,0,16,0,0,0,25,0,0,0,8,0,13,0,1,0,33,0,3,0,0,145
Acidobacteria,0,0,0,13,0,10,0,1,0,5,0,0,0,8,0,0,0,15,0,26,0,11,0,33,0,5,0,0,127
Acidobacteria,0,0,0,38,0,13,0,29,0,26,0,0,0,27,0,0,0,18,0,9,0,5,0,49,0,19,0,0,233
Acidobacteria,0,0,0,23,0,2,0,7,0,10,0,0,0,14,0,0,0,27,0,8,0,3,0,30,0,7,0,0,131
Acidobacteria,0,0,0,2,1,4,0,2,0,6,0,0,0,11,0,0,0,7,0,6,0,3,0,20,0,6,0,0,68
Acidobacteria,0,0,0,20,0,15,1,28,0,25,1,0,0,22,0,0,0,29,0,1,0,1,0,10,0,30,0,0,183
Acidobacteria,0,0,0,14,0,10,0,2,0,17,0,0,0,40,0,0,0,5,0,9,0,7,0,68,0,28,0,0,200
Acidobacteria,0,0,0,11,0,17,0,5,0,26,0,0,0,18,0,0,0,18,0,6,0,2,0,23,0,17,0,0,143
